station_code,name,long,lat
2515,마곡,126.8247494,37.56018145
2516,발산,126.8377641,37.55868125
2517,우장산,126.8363215,37.54831618
2518,화곡,126.840414,37.54165774
2519,까치산,126.8464708,37.53222314
2520,신정,126.8561274,37.52504262
2521,목동,126.8643233,37.52616556
2522,오목교,126.8760682,37.5244093
2523,양평,127.4919721,37.49307597
2524,영등포구청,126.8954568,37.52418194
2525,영등포시장,126.9051136,37.52269051
2526,신길,126.9148778,37.51766502
2527,여의도,126.9245889,37.52189259
2528,여의나루,126.9325973,37.52688332
2529,마포,126.9453002,37.53915797
2530,공덕,126.9524357,37.54236362
2531,애오개,126.9565895,37.55343121
2532,충정로,126.9645361,37.55980051
2533,서대문,126.9666123,37.56587286
2534,광화문,126.9762752,37.571638
2535,종로3가,126.9918346,37.57162972
2536,을지로4가,126.9980589,37.56739341
2537,동대문역사문화공원,127.009055,37.56566391
2538,청구,127.0139538,37.56020453
2539,신금호,127.0200921,37.55463385
2540,행당,127.0295677,37.55744684
2541,왕십리,127.0369867,37.56127795
2542,마장,127.0426223,37.56590915
2543,답십리,127.0525912,37.56695078
2544,장한평,127.0646412,37.56144725
2545,군자,127.07928,37.55724928
2546,아차산,127.0896991,37.55192166
2547,광나루,127.1043154,37.54510922
2548,천호,127.1231873,37.53799822
2549,강동,127.1323553,37.53601683
2550,길동,127.1400418,37.53789283
2551,굽은다리,127.1426898,37.54509005
2552,명일,127.1440556,37.5518939
2553,고덕,127.1536282,37.55495547
2554,상일동,127.1656605,37.55664764
2555,둔촌동,127.1362151,37.52766272
2556,올림픽공원,127.1303252,37.51628371
2557,방이,127.1260298,37.508638
2558,오금,127.1278736,37.50219785
2559,개롱,127.1350777,37.49793798
2560,거여,127.1443363,37.49308828
2561,마천,127.1529286,37.49498206
2611,응암,126.915763,37.59907555
2612,역촌,126.9229069,37.60628382
2613,불광,126.9293043,37.61086036
2614,독바위,126.9330442,37.61872217
2615,연신내,126.9211219,37.61916975
2616,구산,126.917314,37.61125766
2617,새절,126.9137253,37.59139752
2618,증산,126.9101382,37.58431165
2619,디지털미디어시티,126.901301,37.5760287
2620,월드컵경기장,126.8990857,37.56962476
2621,마포구청,126.9034133,37.56336228
2622,망원,126.9102667,37.55586316
2623,합정,126.914229,37.54980094
2624,상수,126.9229654,37.5477198
2625,광흥창,126.9319454,37.54743805
2626,대흥,126.9418883,37.54789184
2627,공덕,126.9523257,37.54266828
2628,효창공원앞,126.9627784,37.53861851
2629,삼각지,126.9740564,37.53565308
2630,녹사평,126.9864987,37.53475111
2631,이태원,126.9939048,37.53447376
2632,한강진,127.0017729,37.53992781
2633,버티고개,127.0070804,37.54800398
2634,약수,127.0101191,37.55392942
2635,청구,127.0139288,37.56058006
2636,신당,127.0194541,37.56569503
2637,동묘앞,127.0157024,37.57235473
2638,창신,127.0152018,37.58003475
2639,보문,127.0198071,37.58546288
2640,안암,127.0294614,37.58634168
2641,고려대,127.0363342,37.58997055
2642,월곡,127.042014,37.60228278
2643,상월곡,127.0491158,37.60669603
2644,돌곶이,127.0570239,37.61080345
2645,석계,127.0656162,37.61516371
2646,태릉입구,127.0754138,37.61841306
2647,화랑대,127.0842415,37.62033704
2648,봉화산,127.0917507,37.61714674
2711,장암,127.051953,37.69908157
2712,도봉산,127.0463971,37.68977004
2713,수락산,127.0553472,37.67823536
2714,마들,127.0577448,37.66488203
2715,노원,127.0603848,37.65502746
2716,중계,127.0639651,37.64543986
2717,하계,127.0682161,37.63599068
2718,공릉,127.0730158,37.62560846
2719,태릉입구,127.0747062,37.61736601
2720,먹골,127.0777073,37.61105452
2721,중화,127.0793613,37.60228504
2722,상봉,127.0857372,37.59561094
2723,면목,127.087594,37.58837142
2724,사가정,127.0885135,37.58066105
2725,용마산,127.0869557,37.57393
2726,중곡,127.0843703,37.56605287
2727,군자,127.0796475,37.55743307
2728,어린이대공원,127.0741895,37.54725653
2729,건대입구,127.0690807,37.540426
2730,뚝섬유원지,127.0666935,37.53153227
2731,청담,127.0535773,37.5194288
2732,강남구청,127.0415079,37.51660845
2733,학동,127.0307941,37.51404072
2734,논현,127.0212999,37.51109494
2735,반포,127.0114774,37.5081271
2736,고속터미널,127.0039099,37.50589613
2737,내방,126.9936634,37.48767841
2738,이수,126.9815856,37.48526547
2739,남성,126.9706336,37.48486441
2740,숭실대입구,126.9538669,37.49601877
2741,상도,126.9478755,37.50291155
2742,장승배기,126.9393573,37.50506899
2743,신대방삼거리,126.9282706,37.49973
2744,보라매,126.9203474,37.49991753
2745,신풍,126.909088,37.50013976
2746,대림,126.8967349,37.4928497
2747,남구로,126.8874929,37.48637669
2748,가산디지털단지,126.8826101,37.48039007
2749,철산,126.8679992,37.47612084
2750,광명사거리,126.8544032,37.47938753
2751,천왕,126.8386752,37.48673922
2752,온수,126.8236457,37.49200811
2753,까치울,126.8111992,37.50623279
2754,부천종합운동장,126.797444,37.505348
2755,춘의,126.7871147,37.50373562
2756,신중동,126.7760974,37.50304319
2757,부천시청,126.763623,37.50468513
2758,상동,126.753165,37.50581874
2759,삼산체육관,126.7420927,37.50646735
2760,굴포천,126.73135,37.50701934
2761,부평구청,126.7205882,37.50849091
2811,암사,127.1275264,37.55013374
2812,천호,127.1240205,37.53849097
2813,강동구청,127.1205232,37.53041245
2814,몽촌토성,127.1127335,37.51751421
2815,잠실,127.1001894,37.5133119
2816,석촌,127.1065845,37.50493386
2817,송파,127.1124598,37.49945321
2818,가락시장,127.1181216,37.49327876
2819,문정,127.1223906,37.48599955
2820,장지,127.1258305,37.47929288
2821,복정,127.1265184,37.46876982
2822,산성,127.1499054,37.45689345
2823,남한산성입구,127.1600328,37.45203491
2824,단대오거리,127.1567244,37.44508837
2825,신흥,127.1480938,37.44112043
2826,수진,127.1408575,37.43749368
2827,모란,127.129667,37.43399309
3110,계양,126.7362403,37.57177475
3111,귤현,126.7426793,37.56637738
3112,박촌,126.7451061,37.55406798
3113,임학,126.7385688,37.54485245
3114,계산,126.7285006,37.54324887
3115,경인교대입구,126.7226608,37.53771561
3116,작전,126.7225353,37.53022727
3117,갈산,126.7214955,37.51653672
3118,부평구청,126.7213802,37.50746581
3119,부평시장,126.7222918,37.498567
3120,부평,126.7243766,37.489469
3121,동수,126.7180565,37.48522473
3122,부평삼거리,126.7106423,37.47861895
3123,간석오거리,126.7079208,37.46708531
3124,인천시청,126.7010038,37.45692418
3125,예술회관,126.7009532,37.44914785
3126,인천터미널,126.6997252,37.44265593
3127,문학경기장,126.6981828,37.43500141
3128,선학,126.6989553,37.42675297
3129,신연수,126.694029,37.41794006
3130,원인재,126.6877055,37.41218923
3131,동춘,126.6805234,37.40487942
3132,동막,126.6724272,37.39758398
3133,캠퍼스타운,126.6620181,37.38809252
3134,테크노파크,126.6560643,37.38183212
3135,지식정보단지,126.645043,37.378274
3136,인천대입구,126.6396404,37.38630063
3137,센트럴파크,126.634794,37.39343341
3138,국제업무지구,126.6303387,37.40031382
3201,검단오류,126.6283601,37.59486107
3202,왕길,126.6426531,37.59518161
3203,검단사거리,126.65665,37.60174307
3204,마전,126.6670535,37.59777826
3205,완정,126.6729951,37.59288995
3206,독정,126.6759054,37.58504062
3207,검암,126.6756636,37.56872513
3208,검바위,126.6774794,37.56101874
3209,아시아드경기장,126.6771149,37.55156673
3210,서구청,126.6768351,37.54393196
3211,가정,126.6753348,37.52472782
3212,가정중앙시장,126.6765813,37.51661356
3213,석남,126.6762778,37.50811062
3214,서부여성회관,126.6757815,37.49953973
3215,인천가좌,126.6751905,37.48968885
3216,가재울,126.6833698,37.48447476
3217,주안국가산단,126.6810861,37.47381266
3218,주안,126.6798071,37.46508001
3219,시민공원,126.680997,37.45844178
3220,석바위시장,126.6929255,37.45767036
3221,인천시청,126.7021981,37.45770497
3222,석천사거리,126.7102246,37.4568218
3223,모래내시장,126.719324,37.455925
3224,만수,126.7322149,37.45495442
